,person_id,country,intensifier,predicate,response,rt,has intensifier?,difference,Z-Score,std,Z-Score Difference,scenario_type,scenario_country
0,5920b86a53cb680001205632,UK,slightly,exhausted,70,14479,yes,-7.0,-0.35688760110226986,19.26170214303199,-0.36341544210475096,dialogue,dialogue UK
1,5920b86a53cb680001205632,UK,slightly,exhausted,77,12584,no,,0.009229851752644685,19.26170214303199,,dialogue,dialogue UK
2,5920b86a53cb680001205632,UK,kind of,exhausted,67,10753,yes,-5.0,-0.5137950808972332,19.26170214303199,-0.2595824586462507,dialogue,dialogue UK
3,5920b86a53cb680001205632,UK,kind of,exhausted,72,6685,no,,-0.2522826145722943,19.26170214303199,,dialogue,dialogue UK
4,5920b86a53cb680001205632,UK,quite,exhausted,68,8484,yes,-31.0,-0.46149258763224543,19.26170214303199,-1.6094112436067545,dialogue,dialogue UK
5,5920b86a53cb680001205632,UK,quite,exhausted,99,21939,no,,1.159884703582376,19.26170214303199,,dialogue,dialogue UK
6,5920b86a53cb680001205632,UK,very,exhausted,100,19627,yes,2.0,1.2121871968473639,19.26170214303199,0.10383298345850028,dialogue,dialogue UK
7,5920b86a53cb680001205632,UK,very,exhausted,98,45601,no,,1.1075822103173882,19.26170214303199,,dialogue,dialogue UK
8,5920b86a53cb680001205632,UK,extremely,exhausted,0,28869,yes,0.0,-4.018062129651415,19.26170214303199,0.0,dialogue,dialogue UK
9,5920b86a53cb680001205632,UK,extremely,exhausted,0,40344,no,,-4.018062129651415,19.26170214303199,,dialogue,dialogue UK
10,5920b86a53cb680001205632,UK,slightly,boring,62,8131,yes,-13.0,-0.7753075472221722,19.26170214303199,-0.6749143924802519,dialogue,dialogue UK
11,5920b86a53cb680001205632,UK,slightly,boring,75,11677,no,,-0.0953751347773309,19.26170214303199,,dialogue,dialogue UK
12,5920b86a53cb680001205632,UK,kind of,boring,62,9020,yes,-17.0,-0.7753075472221722,19.26170214303199,-0.8825803593972524,dialogue,dialogue UK
13,5920b86a53cb680001205632,UK,kind of,boring,79,18714,no,,0.11383483828262027,19.26170214303199,,dialogue,dialogue UK
14,5920b86a53cb680001205632,UK,quite,boring,72,14367,yes,-1.0,-0.2522826145722943,19.26170214303199,-0.05191649172925014,dialogue,dialogue UK
15,5920b86a53cb680001205632,UK,quite,boring,73,17795,no,,-0.19998012130730647,19.26170214303199,,dialogue,dialogue UK
16,5920b86a53cb680001205632,UK,very,boring,89,15108,yes,-1.0,0.6368597709324982,19.26170214303199,-0.05191649172925014,dialogue,dialogue UK
17,5920b86a53cb680001205632,UK,very,boring,90,21258,no,,0.6891622641974859,19.26170214303199,,dialogue,dialogue UK
18,5920b86a53cb680001205632,UK,extremely,boring,94,10104,yes,27.0,0.8983722372574372,19.26170214303199,1.4017452766897538,dialogue,dialogue UK
19,5920b86a53cb680001205632,UK,extremely,boring,67,11761,no,,-0.5137950808972332,19.26170214303199,,dialogue,dialogue UK
20,5920b86a53cb680001205632,UK,slightly,difficult,57,17682,yes,-24.0,-1.036820013547111,19.26170214303199,-1.2459958015020034,dialogue,dialogue UK
21,5920b86a53cb680001205632,UK,slightly,difficult,81,13964,no,,0.21843982481259586,19.26170214303199,,dialogue,dialogue UK
22,5920b86a53cb680001205632,UK,kind of,difficult,88,11485,yes,-4.0,0.5845572776675104,19.26170214303199,-0.20766596691700057,dialogue,dialogue UK
23,5920b86a53cb680001205632,UK,kind of,difficult,92,10068,no,,0.7937672507274616,19.26170214303199,,dialogue,dialogue UK
24,5920b86a53cb680001205632,UK,quite,difficult,75,12152,yes,6.0,-0.0953751347773309,19.26170214303199,0.31149895037550085,dialogue,dialogue UK
25,5920b86a53cb680001205632,UK,quite,difficult,69,7590,no,,-0.4091900943672577,19.26170214303199,,dialogue,dialogue UK
26,5920b86a53cb680001205632,UK,very,difficult,91,7382,yes,22.0,0.7414647574624738,19.26170214303199,1.142162818043503,dialogue,dialogue UK
27,5920b86a53cb680001205632,UK,very,difficult,69,21316,no,,-0.4091900943672577,19.26170214303199,,dialogue,dialogue UK
28,5920b86a53cb680001205632,UK,extremely,difficult,90,14436,yes,3.0,0.6891622641974859,19.26170214303199,0.15574947518775042,dialogue,dialogue UK
29,5920b86a53cb680001205632,UK,extremely,difficult,87,20763,no,,0.5322547844025226,19.26170214303199,,dialogue,dialogue UK
30,5920b86a53cb680001205632,UK,slightly,concerned,61,11577,yes,-31.0,-0.82761004048716,19.26170214303199,-1.6094112436067545,dialogue,dialogue UK
31,5920b86a53cb680001205632,UK,slightly,concerned,92,14189,no,,0.7937672507274616,19.26170214303199,,dialogue,dialogue UK
32,5920b86a53cb680001205632,UK,kind of,concerned,74,12536,yes,-10.0,-0.14767762804231868,19.26170214303199,-0.5191649172925014,dialogue,dialogue UK
33,5920b86a53cb680001205632,UK,kind of,concerned,84,13190,no,,0.3753473046075592,19.26170214303199,,dialogue,dialogue UK
34,5920b86a53cb680001205632,UK,quite,concerned,79,11183,yes,-14.0,0.11383483828262027,19.26170214303199,-0.7268308842095019,dialogue,dialogue UK
35,5920b86a53cb680001205632,UK,quite,concerned,93,14520,no,,0.8460697439924494,19.26170214303199,,dialogue,dialogue UK
36,5920b86a53cb680001205632,UK,very,concerned,95,7173,yes,10.0,0.9506747305224249,19.26170214303199,0.5191649172925014,dialogue,dialogue UK
37,5920b86a53cb680001205632,UK,very,concerned,85,8926,no,,0.42764979787254703,19.26170214303199,,dialogue,dialogue UK
38,5920b86a53cb680001205632,UK,extremely,concerned,95,10371,yes,27.0,0.9506747305224249,19.26170214303199,1.4017452766897538,dialogue,dialogue UK
39,5920b86a53cb680001205632,UK,extremely,concerned,68,10897,no,,-0.46149258763224543,19.26170214303199,,dialogue,dialogue UK
40,5920b86a53cb680001205632,UK,slightly,understandable,53,9374,yes,-26.0,-1.2460299866070623,19.26170214303199,-1.3498287849605037,dialogue,dialogue UK
41,5920b86a53cb680001205632,UK,slightly,understandable,79,15317,no,,0.11383483828262027,19.26170214303199,,dialogue,dialogue UK
42,5920b86a53cb680001205632,UK,kind of,understandable,90,16643,yes,4.0,0.6891622641974859,19.26170214303199,0.20766596691700057,dialogue,dialogue UK
43,5920b86a53cb680001205632,UK,kind of,understandable,86,15694,no,,0.4799522911375348,19.26170214303199,,dialogue,dialogue UK
44,5920b86a53cb680001205632,UK,quite,understandable,87,8036,yes,4.0,0.5322547844025226,19.26170214303199,0.20766596691700057,dialogue,dialogue UK
45,5920b86a53cb680001205632,UK,quite,understandable,83,15712,no,,0.32304481134257146,19.26170214303199,,dialogue,dialogue UK
46,5920b86a53cb680001205632,UK,very,understandable,100,22757,yes,16.0,1.2121871968473639,19.26170214303199,0.8306638676680023,dialogue,dialogue UK
47,5920b86a53cb680001205632,UK,very,understandable,84,10716,no,,0.3753473046075592,19.26170214303199,,dialogue,dialogue UK
48,5920b86a53cb680001205632,UK,extremely,understandable,90,14381,yes,9.0,0.6891622641974859,19.26170214303199,0.46724842556325125,dialogue,dialogue UK
49,5920b86a53cb680001205632,UK,extremely,understandable,81,12764,no,,0.21843982481259586,19.26170214303199,,dialogue,dialogue UK
50,5920b86a53cb680001205632,UK,slightly,impressive,52,20041,yes,-26.0,-1.2983324798720501,19.26170214303199,-1.3498287849605037,dialogue,dialogue UK
51,5920b86a53cb680001205632,UK,slightly,impressive,78,9332,no,,0.06153234501763248,19.26170214303199,,dialogue,dialogue UK
52,5920b86a53cb680001205632,UK,quite,impressive,72,13129,yes,1.0,-0.2522826145722943,19.26170214303199,0.05191649172925014,dialogue,dialogue UK
53,5920b86a53cb680001205632,UK,quite,impressive,71,10008,no,,-0.30458510783728204,19.26170214303199,,dialogue,dialogue UK
54,5920b86a53cb680001205632,UK,very,impressive,95,13669,yes,21.0,0.9506747305224249,19.26170214303199,1.090246326314253,dialogue,dialogue UK
55,5920b86a53cb680001205632,UK,very,impressive,74,15267,no,,-0.14767762804231868,19.26170214303199,,dialogue,dialogue UK
56,5920b86a53cb680001205632,UK,extremely,impressive,100,13118,yes,6.0,1.2121871968473639,19.26170214303199,0.31149895037550085,dialogue,dialogue UK
57,5920b86a53cb680001205632,UK,extremely,impressive,94,13367,no,,0.8983722372574372,19.26170214303199,,dialogue,dialogue UK
58,5920b86a53cb680001205632,UK,slightly,helpful,50,17765,yes,-43.0,-1.4029374664020258,19.26170214303199,-2.232409144357756,dialogue,dialogue UK
59,5920b86a53cb680001205632,UK,slightly,helpful,93,17212,no,,0.8460697439924494,19.26170214303199,,dialogue,dialogue UK
60,5920b86a53cb680001205632,UK,kind of,helpful,57,18300,yes,-22.0,-1.036820013547111,19.26170214303199,-1.142162818043503,dialogue,dialogue UK
61,5920b86a53cb680001205632,UK,kind of,helpful,79,10614,no,,0.11383483828262027,19.26170214303199,,dialogue,dialogue UK
62,5920b86a53cb680001205632,UK,quite,helpful,50,10681,yes,-1.0,-1.4029374664020258,19.26170214303199,-0.05191649172925014,dialogue,dialogue UK
63,5920b86a53cb680001205632,UK,quite,helpful,51,49424,no,,-1.350634973137038,19.26170214303199,,dialogue,dialogue UK
64,5920b86a53cb680001205632,UK,very,helpful,84,12698,yes,18.0,0.3753473046075592,19.26170214303199,0.9344968511265025,dialogue,dialogue UK
65,5920b86a53cb680001205632,UK,very,helpful,66,16949,no,,-0.5660975741622211,19.26170214303199,,dialogue,dialogue UK
66,5920b86a53cb680001205632,UK,extremely,helpful,100,12734,yes,14.0,1.2121871968473639,19.26170214303199,0.7268308842095019,dialogue,dialogue UK
67,5920b86a53cb680001205632,UK,extremely,helpful,86,18364,no,,0.4799522911375348,19.26170214303199,,dialogue,dialogue UK
