,person_id,country,intensifier,predicate,response,rt,has intensifier?,difference,Z-Score,std,Z-Score Difference,scenario_type,scenario_country
0,5bf495d37ea49f0001ba5c2c,US,slightly,exhausted,49,9642,yes,1.0,0.12638163301913646,35.0665619660089,0.028517195411666845,direct,direct US
1,5bf495d37ea49f0001ba5c2c,US,slightly,exhausted,48,14396,no,,0.09765853460569635,35.0665619660089,,direct,direct US
2,5bf495d37ea49f0001ba5c2c,US,kind of,exhausted,35,17005,yes,16.0,-0.27574174476902513,35.0665619660089,0.4562751265866695,direct,direct US
3,5bf495d37ea49f0001ba5c2c,US,kind of,exhausted,19,10275,no,,-0.735311319384067,35.0665619660089,,direct,direct US
4,5bf495d37ea49f0001ba5c2c,US,quite,exhausted,21,10211,yes,-3.0,-0.6778651225571868,35.0665619660089,-0.08555158623500053,direct,direct US
5,5bf495d37ea49f0001ba5c2c,US,quite,exhausted,24,11507,no,,-0.5916958273168664,35.0665619660089,,direct,direct US
6,5bf495d37ea49f0001ba5c2c,US,very,exhausted,18,8812,yes,-7.0,-0.764034417797507,35.0665619660089,-0.1996203678816679,direct,direct US
7,5bf495d37ea49f0001ba5c2c,US,very,exhausted,25,7483,no,,-0.5629727289034263,35.0665619660089,,direct,direct US
8,5bf495d37ea49f0001ba5c2c,US,extremely,exhausted,47,14717,yes,18.0,0.06893543619225623,35.0665619660089,0.5133095174100032,direct,direct US
9,5bf495d37ea49f0001ba5c2c,US,extremely,exhausted,29,16652,no,,-0.44808033524966584,35.0665619660089,,direct,direct US
10,5bf495d37ea49f0001ba5c2c,US,slightly,boring,0,16746,yes,0.0,-1.281050189239429,35.0665619660089,0.0,direct,direct US
11,5bf495d37ea49f0001ba5c2c,US,slightly,boring,0,7195,no,,-1.281050189239429,35.0665619660089,,direct,direct US
12,5bf495d37ea49f0001ba5c2c,US,kind of,boring,0,13235,yes,0.0,-1.281050189239429,35.0665619660089,0.0,direct,direct US
13,5bf495d37ea49f0001ba5c2c,US,kind of,boring,0,11451,no,,-1.281050189239429,35.0665619660089,,direct,direct US
14,5bf495d37ea49f0001ba5c2c,US,quite,boring,0,9298,yes,0.0,-1.281050189239429,35.0665619660089,0.0,direct,direct US
15,5bf495d37ea49f0001ba5c2c,US,quite,boring,0,6955,no,,-1.281050189239429,35.0665619660089,,direct,direct US
16,5bf495d37ea49f0001ba5c2c,US,very,boring,0,12780,yes,0.0,-1.281050189239429,35.0665619660089,0.0,direct,direct US
17,5bf495d37ea49f0001ba5c2c,US,very,boring,0,8676,no,,-1.281050189239429,35.0665619660089,,direct,direct US
