,person_id,country,intensifier,predicate,response,rt,has intensifier?,difference,Z-Score,std,Z-Score Difference,scenario_type,scenario_country
0,5e69d69465f14102e116627b,US,slightly,exhausted,49,11572,yes,-29.0,-0.8729192397704127,19.05960223156917,-1.5215427713368623,narrator,narrator US
1,5e69d69465f14102e116627b,US,slightly,exhausted,78,7266,no,,0.6599362729876049,19.05960223156917,,narrator,narrator US
2,5e69d69465f14102e116627b,US,kind of,exhausted,54,5446,yes,-35.0,-0.6086338065362717,19.05960223156917,-1.8363447240272477,narrator,narrator US
3,5e69d69465f14102e116627b,US,kind of,exhausted,89,17643,no,,1.2413642261027151,19.05960223156917,,narrator,narrator US
4,5e69d69465f14102e116627b,US,quite,exhausted,56,6914,yes,-1.0,-0.5029196332426153,19.05960223156917,-0.05246699211506422,narrator,narrator US
5,5e69d69465f14102e116627b,US,quite,exhausted,57,7246,no,,-0.4500625465957872,19.05960223156917,,narrator,narrator US
6,5e69d69465f14102e116627b,US,very,exhausted,86,6193,yes,14.0,1.0827929661622304,19.05960223156917,0.734537889610899,narrator,narrator US
7,5e69d69465f14102e116627b,US,very,exhausted,72,10075,no,,0.3427937531066358,19.05960223156917,,narrator,narrator US
8,5e69d69465f14102e116627b,US,extremely,exhausted,94,5745,yes,2.0,1.505649659336856,19.05960223156917,0.10493398423012844,narrator,narrator US
9,5e69d69465f14102e116627b,US,extremely,exhausted,92,5363,no,,1.3999354860431996,19.05960223156917,,narrator,narrator US
10,5e69d69465f14102e116627b,US,slightly,boring,35,37272,yes,-22.0,-1.6129184528260074,19.05960223156917,-1.1542738265314127,narrator,narrator US
11,5e69d69465f14102e116627b,US,slightly,boring,57,8466,no,,-0.4500625465957872,19.05960223156917,,narrator,narrator US
12,5e69d69465f14102e116627b,US,kind of,boring,58,7845,yes,-3.0,-0.397205459948959,19.05960223156917,-0.15740097634519265,narrator,narrator US
13,5e69d69465f14102e116627b,US,kind of,boring,61,9615,no,,-0.2386342000084744,19.05960223156917,,narrator,narrator US
