"X","person_id","country","modifier","predicate","response","rt","has.intensifier.","difference","Z.Score","std","interpretation_difference","scenario_type","scenario_country","experiment","narrator_interpretation","politeness_difference","scenario"
0,"5920b86a53cb680001205632","UK","slightly","exhausted",70,14479,"yes",-7,-0.35688760110227,19.261702143032,-0.363415442104751,"dialogue","dialogue UK","Interpretation",-0.834075707208826,0.0158248087704549,"slightly.exhausted"
2,"5920b86a53cb680001205632","UK","kind of","exhausted",67,10753,"yes",-5,-0.513795080897233,19.261702143032,-0.259582458646251,"dialogue","dialogue UK","Interpretation",-0.512087892026135,0.101450669660746,"kind of.exhausted"
4,"5920b86a53cb680001205632","UK","quite","exhausted",68,8484,"yes",-31,-0.461492587632245,19.261702143032,-1.60941124360675,"dialogue","dialogue UK","Interpretation",-0.163517707828615,0.223867929640457,"quite.exhausted"
6,"5920b86a53cb680001205632","UK","very","exhausted",100,19627,"yes",2,1.21218719684736,19.261702143032,0.1038329834585,"dialogue","dialogue UK","Interpretation",0.258344385926343,-0.0601668175494281,"very.exhausted"
8,"5920b86a53cb680001205632","UK","extremely","exhausted",0,28869,"yes",0,-4.01806212965142,19.261702143032,0,"dialogue","dialogue UK","Interpretation",0.638376173212379,0.0106194156671901,"extremely.exhausted"
10,"5920b86a53cb680001205632","UK","slightly","boring",62,8131,"yes",-13,-0.775307547222172,19.261702143032,-0.674914392480252,"dialogue","dialogue UK","Interpretation",-0.572979748093398,0.114528144314791,"slightly.boring"
12,"5920b86a53cb680001205632","UK","kind of","boring",62,9020,"yes",-17,-0.775307547222172,19.261702143032,-0.882580359397252,"dialogue","dialogue UK","Interpretation",-0.461115227485241,0.165042701013924,"kind of.boring"
14,"5920b86a53cb680001205632","UK","quite","boring",72,14367,"yes",-1,-0.252282614572294,19.261702143032,-0.0519164917292501,"dialogue","dialogue UK","Interpretation",-0.320037827657687,0.0728544958628986,"quite.boring"
18,"5920b86a53cb680001205632","UK","extremely","boring",94,10104,"yes",27,0.898372237257437,19.261702143032,1.40174527668975,"dialogue","dialogue UK","Interpretation",0.259362004037159,-0.253664954814715,"extremely.boring"
20,"5920b86a53cb680001205632","UK","slightly","difficult",57,17682,"yes",-24,-1.03682001354711,19.261702143032,-1.245995801502,"dialogue","dialogue UK","Interpretation",-1.11043063041395,-0.0541095115076817,"slightly.difficult"
22,"5920b86a53cb680001205632","UK","kind of","difficult",88,11485,"yes",-4,0.58455727766751,19.261702143032,-0.207665966917001,"dialogue","dialogue UK","Interpretation",-0.66331950674293,-0.0190496564670449,"kind of.difficult"
24,"5920b86a53cb680001205632","UK","quite","difficult",75,12152,"yes",6,-0.0953751347773309,19.261702143032,0.311498950375501,"dialogue","dialogue UK","Interpretation",0.0651095129067597,-0.172559700071688,"quite.difficult"
26,"5920b86a53cb680001205632","UK","very","difficult",91,7382,"yes",22,0.741464757462474,19.261702143032,1.1421628180435,"dialogue","dialogue UK","Interpretation",0.407178310844801,0.153105808872414,"very.difficult"
28,"5920b86a53cb680001205632","UK","extremely","difficult",90,14436,"yes",3,0.689162264197486,19.261702143032,0.15574947518775,"dialogue","dialogue UK","Interpretation",0.178372621570954,0.154312168757275,"extremely.difficult"
30,"5920b86a53cb680001205632","UK","slightly","concerned",61,11577,"yes",-31,-0.82761004048716,19.261702143032,-1.60941124360675,"dialogue","dialogue UK","Interpretation",-0.789576338914733,-0.260449371135883,"slightly.concerned"
32,"5920b86a53cb680001205632","UK","kind of","concerned",74,12536,"yes",-10,-0.147677628042319,19.261702143032,-0.519164917292501,"dialogue","dialogue UK","Interpretation",-0.231159950163022,-0.130212109765489,"kind of.concerned"
34,"5920b86a53cb680001205632","UK","quite","concerned",79,11183,"yes",-14,0.11383483828262,19.261702143032,-0.726830884209502,"dialogue","dialogue UK","Interpretation",-0.0661516473662685,-0.0585304926043967,"quite.concerned"
36,"5920b86a53cb680001205632","UK","very","concerned",95,7173,"yes",10,0.950674730522425,19.261702143032,0.519164917292501,"dialogue","dialogue UK","Interpretation",0.375364220070372,-0.0510295066977746,"very.concerned"
