Scenario number,scenario context,Type A last sentence,Type B last sentence,intensifier,Question to ask,label for 0,Label for 7
1,"Jack and Euan are working at their desks in an office. Jack stands up to grab a sweater from the back of their chair, and asks Euan.","Jack:""Did you turn up the AC ? It's a bit cold.""","Jack: ""Did you turn up the AC ? It's cold.""",a bit,How cold does Jack feel?,not cold at all,very cold
2,"Taylor asks Chris to give advice on a poster he designed for an upcoming event.
Taylor: “Can you give me feedback for this poster?”","Chris: “The content is great, but the graphics is a bit too flashy. I think it's diverting attention away from the message.”","Chris: “The content is great, but the graphics is too flashy. I think it's diverting attention away from the message.”",a bit,How flashy does Chris think the graphics is?,not flashy at all,very flashy
3,"Dana's younger brother asks if she can play video games him after she gets home from work.
Younger Brother: “Hey, do you want to play video games with me?”",Dana: “I’m a bit exhausted from work today. I’d be down to play tomorrow tho?”,Dana: “I’m exhausted from work today. I’d be down to play tomorrow tho?”,a bit,How tired is Dana?,not tired at all,very tired
4,"Amy and John are talking about their hobbies:
Amy: ""You know, stamp collecting is really the most fascinating hobby. You can learn so much about history!""
John: ""Yeah, I guess it could be interesting...""
Amy: ""It’s honestly one of the best ways to spend your free time.""","John: ""That’s true.""",John: “That’s certainly true.”,Certainly,How much does John agree with Amy?,strongly disagree,strongly agree
5,"A friend shares with Mia, her struggles of being away from home.
Friend: “Being away from home for so long is harder than I thought. I miss my family a lot.”","Mia: “Yes, I relate to that. I certainly felt the same way when I first moved here.”","Mia: “Yes, I relate to that. I felt the same way when I first moved here.”",Certainly,How much does Mia relate to her friend?,Don't relate at all.,she knows exactly what her friend is going through.
6,"Nancy's friend shares their doubts about entering a writing competition and worries that their story may not be good enough to win.
Friend: “I’ve entered my story into a writing competition, but I’m not sure if it’s good enough to win.”",Nancy: “Your story is very captivating. I think you certainly have a good chance.”,Nancy: “Your story is very captivating. I think you have a good chance.”,Certainly,How much does Nancy believe her friend will win?,Nancy does not believe at all.,Nancy belives in her friend 100%.
7,"Nia receives a birthday present gift from Kate.
Kate: ""I wasn’t sure if you’d like it. I know it’s a bit different.""","Nia: “Thanks a lot. It is really nice.""","Nia: ""Thanks a lot. It is really quite nice.""",quite,How much does Nia like her present?,Nia really doesn't like the present,Nia really likes the present.
8,"Lin cooked dinner for both Sophie and herself. Lin asks Sophie’s opinion.
Lin : ""How was the dinner today? I think I may have overcooked the chicken a little bit.""","Sophie: ""No, I think it was quite good!""","Sophie: ""No, I think it was good!""",quite,How good did Sophie think the chicken was?,she thinks it was very bad,she thinks it was very good
9,"Amy and Dan are meeting up for coffee, but Dan arrives 15 min in late.
Dan: “Sorry I’m late. I was about to leave, but I forgot where I put my key and took long finding it.”",Amy: “No worries. That’s understandable.”,Amy: “No worries. That’s quite understandable.”,quite,How much does Amy forgive Dan?,amy does not forgive Dan at all,amy completely forgives Dan
10,"Ronnie and his brother Joel are talking about their upcoming family holiday dinner.
Joel: ""You’re making the holiday dinner again this year, right? Everyone loves your cooking, and it just wouldn’t be the same if someone else did it.""","Ronnie: ""Ok. I don’t mind doing it.""",Ronnie: “Ok. I can do it.”,I don't mind,How happy is Ronnie about cooking the holiday dinner?,Ronnie is not happy at all about cooking dinner,Ronnie is very happy about cooking dinner
11,"Sarah and John had plans to meet for dinner at 6 p.m., but Sarah suggests moving the time to 5 p.m. Sarah: “Can we move the dinner to 5 instead of 6?”","John: “I don’t mind, that works for me!”","John: “Yes, that works for me.”",I don't mind,How happy is John about moving dinner from 6pm to 5pm?,John is not happy at all,John is very happy
12,"At a library, Emma sees an empty chair next to a stranger and wants to use it. She asks if they mind her taking the chair.
Emma: “Do you mind if I take this chair?”","Stranger: “No, I don’t mind. Go ahead.”",Stranger: “No. Go ahead.”,I don't mind,How happy is the stranger about Emma taking their chair?,Not happy at all.,completely happy.
13,Alex hears that Jamie is visiting Boston next weekend and offers some help.,"Alex: “I heard you’re visiting Boston next weekend. If you’re interested, I could suggest some good places to go, because I lived there for a few years.”","Alex: “I heard you’re visiting Boston next weekend. If you’re interested, I can suggest some good places to go, because I lived there for a few years.”",can/could,How much does Alex believe Jamie will want his help?,Alex thinks Jamie not want his advice,Alex thinks Jamie wants his advice.
14,"Your flat mate, who normally does the trash asks you to take out the trash today.","Flat mate:  ""I have to leave for work early. If it’s alright, could you take out the trash for me today?""","Flatmate: ""I have to leave for work early. If it’s alright, can you take out the trash for me today?""",can/could,Does your flatmate think you might say no?,flatmate thinks I will say no,flatmate thinks I will definitely say yes.
15,A group of friends is making plans to go to a concert this weekend and asks if you want to join.,"Friend: “If you’re free this weekend, you could come to the concert with us.”","Friend: “If you’re free this weekend, you can come to the concert with us.”",can/could,How enthusiastic are they about you joining them?,they don't want you to join,they really want you to join
16,Colin's friend Nate from highschool invited him to a gathering with some of their old classmates. He thanks Nate when leaving.,"Colin: ""This was such a nice evening. Thanks for inviting me!""","Colin: ""This was a nice evening. Thanks for inviting me!""",such a ,How much did Colin enjoy the evening.,He wish he stayed at home,he is very hapy he came
17,"You reach out to a friend who you forgot to contact on their birthday becuase you were busy settling into your new job.
You: “I’m sorry I forgot to reach out to you on your birthday.”",Friend: “No worries. I know it’s such a stressful time for you moving jobs and everything.”,Friend: “No worries. I know it’s a stressful time for you moving jobs and everything.”,such a,How much does your friend forgive you?/ how much does your friend understand?,they do not forgive you at all.,they forigive you completely.
18,"During a team meeting, Tim's colleague expresses their thoughts on the importance of evaluating the long-term impact of the marketing strategy.
Colleague: “I think we should consider the long-term impact of our marketing strategy.”",Tim: “That is such a good point.”,Tim: “That is a good point.”,such a,How much does Tim think his colleague's idea is good?,Tim thinks the idea is average,Tim thinks the idea is excellent
